Kennziffer;Raumeinheit;Aggregat;Baulandpreise;Veränderung Baulandpreise;Baulandumsatz
;;;2016/2017;2012/2013-2016/2017;2015/2016
09374;Neustadt a.d.Waldnaab;Landkreis;59,0;5,3;31,5
09375;Regensburg;Landkreis;170,0;38,4;41,6
09376;Schwandorf;Landkreis;82,0;3,4;43,5
09377;Tirschenreuth;Landkreis;37,7;1,7;39,8
09461;Bamberg, Stadt;krsfr. Stadt;314,8;7,4;3,3
09462;Bayreuth, Stadt;krsfr. Stadt;151,4;-1,5;24,3
09463;Coburg, Stadt;krsfr. Stadt;128,3;25,1;33,0
09464;Hof, Stadt;krsfr. Stadt;225,7;175,6;160,4
09471;Bamberg;Landkreis;98,0;2,6;41,1
09472;Bayreuth;Landkreis;61,0;1,0;32,5
09473;Coburg;Landkreis;43,6;1,6;43,0
09474;Forchheim;Landkreis;144,9;11,0;35,1
09475;Hof;Landkreis;30,9;5,8;26,7
09476;Kronach;Landkreis;37,6;8,0;33,6
09477;Kulmbach;Landkreis;51,8;4,5;26,7
09478;Lichtenfels;Landkreis;61,6;4,4;31,5
09479;Wunsiedel i.Fichtelgebirge;Landkreis;34,3;6,4;26,8
09561;Ansbach, Stadt;krsfr. Stadt;120,1;19,6;15,2
09562;Erlangen, Stadt;krsfr. Stadt;457,0;209,2;35,0
09563;Fürth, Stadt;krsfr. Stadt;310,5;44,5;29,6
09564;Nürnberg, Stadt;krsfr. Stadt;750,6;348,8;21,0
09565;Schwabach, Stadt;krsfr. Stadt;254,5;26,6;35,7
09571;Ansbach;Landkreis;62,6;12,0;43,1
09572;Erlangen-Höchstadt;Landkreis;193,7;-161,8;60,9
09573;Fürth;Landkreis;252,2;42,5;32,8
09574;Nürnberger Land;Landkreis;190,4;10,5;39,3
09575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;83,6;-18,7;30,5
09576;Roth;Landkreis;133,4;2,1;30,8
09577;Weißenburg-Gunzenhausen;Landkreis;71,2;3,2;33,1
09661;Aschaffenburg, Stadt;krsfr. Stadt;411,9;-154,2;11,7
09662;Schweinfurt, Stadt;krsfr. Stadt;142,6;-11,3;15,2
