Kennziffer;Raumeinheit;Aggregat;ÖV-Haltestellen;Bahnhaltestellen;Bushaltestellen;U-/Strassenbahnhaltestellen;ÖV-Abfahrten;Bahn-Abfahrten;Bus-Abfahrten;U-/Straßenbahn-Abfahrten;Erreichbarkeit von IC/EC/ICE-Bahnhöfen ;Erreichbarkeit Autobahnen;Erreichbarkeit Flughäfen;Erreichbarkeit KV-Terminal;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren
"13075039";"Greifswald, Hansestadt";"Oberzentrum";"71";"2";"71";"0";"7.066";"84";"6.982";"0";"0,0";"12,8";"115,5";"78,1";"0,0";"0,0"
"14511000";"Chemnitz, Stadt";"Oberzentrum";"461";"38";"448";"59";"74.091";"3.187";"57.080";"13.824";"56,0";"6,8";"52,2";"35,2";"0,0";"0,0"
"14523320";"Plauen, Stadt";"Oberzentrum";"125";"5";"122";"34";"12.330";"254";"4.509";"7.567";"69,2";"7,1";"90,8";"34,3";"0,0";"0,0"
"14524330";"Zwickau, Stadt";"Oberzentrum";"170";"7";"159";"40";"19.698";"498";"11.848";"7.352";"54,8";"12,5";"74,7";"22,1";"0,0";"0,0"
"14612000";"Dresden, Stadt";"Oberzentrum";"700";"28";"597";"227";"198.585";"3.767";"98.371";"96.447";"2,9";"9,6";"13,0";"6,6";"0,0";"0,0"
"14625020";"Bautzen, Stadt";"Oberzentrum";"90";"1";"90";"0";"7.649";"65";"7.584";"0";"38,7";"2,6";"32,0";"58,5";"0,0";"0,0"
"14625240";"Hoyerswerda, Stadt";"Oberzentrum";"85";"3";"85";"0";"5.619";"80";"5.539";"0";"48,7";"35,6";"56,1";"43,9";"0,0";"0,0"
"14626110";"Görlitz, Stadt";"Oberzentrum";"92";"5";"84";"22";"6.949";"245";"4.541";"2.163";"68,0";"9,2";"61,3";"97,3";"0,0";"0,0"
"14713000";"Leipzig, Stadt";"Oberzentrum";"572";"40";"529";"224";"140.771";"6.041";"62.734";"71.996";"0,5";"11,5";"19,9";"17,6";"0,0";"0,0"
"15001000";"Dessau-Roßlau, Stadt";"Oberzentrum";"190";"9";"184";"28";"14.111";"512";"10.131";"3.468";"22,8";"5,5";"37,8";"10,6";"0,0";"0,0"
